TH1.Print Name  = MVA_BDT_1test_reg_tgt0_rtgt0, Entries= 14066, Total sum= 14066
 fSumw[26][8]=0, x=1.77468, y=-1.5984
 fSumw[27][8]=0, x=1.84667, y=-1.5984
 fSumw[28][8]=0, x=1.91867, y=-1.5984
 fSumw[29][8]=0, x=1.99066, y=-1.5984
 fSumw[30][8]=0, x=2.06265, y=-1.5984
 fSumw[31][8]=0, x=2.13465, y=-1.5984
 fSumw[32][8]=0, x=2.20664, y=-1.5984
 fSumw[33][8]=1, x=2.27864, y=-1.5984
 fSumw[34][8]=0, x=2.35063, y=-1.5984
 fSumw[35][8]=0, x=2.42262, y=-1.5984
 fSumw[36][8]=0, x=2.49462, y=-1.5984
 fSumw[37][8]=0, x=2.56661, y=-1.5984
 fSumw[38][8]=0, x=2.6386, y=-1.5984
 fSumw[39][8]=0, x=2.7106, y=-1.5984
 fSumw[40][8]=0, x=2.78259, y=-1.5984
 fSumw[41][8]=0, x=2.85458, y=-1.5984
 fSumw[42][8]=2, x=2.92658, y=-1.5984
 fSumw[43][8]=0, x=2.99857, y=-1.5984
 fSumw[44][8]=0, x=3.07056, y=-1.5984
 fSumw[45][8]=0, x=3.14256, y=-1.5984
 fSumw[46][8]=0, x=3.21455, y=-1.5984
 fSumw[47][8]=0, x=3.28654, y=-1.5984
 fSumw[48][8]=0, x=3.35854, y=-1.5984
 fSumw[49][8]=0, x=3.43053, y=-1.5984
 fSumw[50][8]=0, x=3.50252, y=-1.5984
 fSumw[51][8]=0, x=3.57452, y=-1.5984
 fSumw[0][9]=0, x=-0.0971498, y=-1.50398
 fSumw[1][9]=0, x=-0.0251563, y=-1.50398
 fSumw[2][9]=0, x=0.0468372, y=-1.50398
 fSumw[3][9]=0, x=0.118831, y=-1.50398
 fSumw[4][9]=0, x=0.190824, y=-1.50398
 fSumw[5][9]=0, x=0.262818, y=-1.50398
 fSumw[6][9]=0, x=0.334811, y=-1.50398
 fSumw[7][9]=0, x=0.406805, y=-1.50398
 fSumw[8][9]=0, x=0.478798, y=-1.50398
 fSumw[9][9]=0, x=0.550792, y=-1.50398
 fSumw[10][9]=0, x=0.622785, y=-1.50398
 fSumw[11][9]=0, x=0.694779, y=-1.50398
 fSumw[12][9]=0, x=0.766772, y=-1.50398
 fSumw[13][9]=0, x=0.838766, y=-1.50398
 fSumw[14][9]=0, x=0.910759, y=-1.50398
 fSumw[15][9]=0, x=0.982752, y=-1.50398
 fSumw[16][9]=0, x=1.05475, y=-1.50398
 fSumw[17][9]=0, x=1.12674, y=-1.50398
 fSumw[18][9]=0, x=1.19873, y=-1.50398
 fSumw[19][9]=0, x=1.27073, y=-1.50398
 fSumw[20][9]=0, x=1.34272, y=-1.50398
 fSumw[21][9]=0, x=1.41471, y=-1.50398
